fid,CMUN,CDENTIDAD,CDNUCLEO,CDTNUCLEO,ETIQUETA,DESCR,BUSCA,POB,Poblacion_Total,avg_dis_B_d,avg_dis_B_t,avg_dis_B_total,avg_dis_H2_d,avg_dis_H2_t,avg_dis_H2_total,avg_dis_H3_d,avg_dis_H3_t,avg_dis_H3_total,avg_dis_J_d,avg_dis_J_t,avg_dis_J_total,avg_dis_M_d,avg_dis_M_t,avg_dis_M_total,avg_dis_d,avg_dis_t,avg_dis_total,avg_dur_B_d,avg_dur_B_t,avg_dur_B_total,avg_dur_H2_d,avg_dur_H2_t,avg_dur_H2_total,avg_dur_H3_d,avg_dur_H3_t,avg_dur_H3_total,avg_dur_J_d,avg_dur_J_t,avg_dur_J_total,avg_dur_M_d,avg_dur_M_t,avg_dur_M_total,avg_dur_d,avg_dur_t,avg_dur_total,dis_B_d_n,dis_B_d_p,dis_B_t_n,dis_B_t_p,dis_H21_d_n,dis_H21_d_p,dis_H21_t_n,dis_H21_t_p,dis_H22_d_n,dis_H22_d_p,dis_H22_t_n,dis_H22_t_p,dis_H23_d_n,dis_H23_d_p,dis_H23_t_n,dis_H23_t_p,dis_H24_d_n,dis_H24_d_p,dis_H24_t_n,dis_H24_t_p,dis_H31_d_n,dis_H31_d_p,dis_H31_t_n,dis_H31_t_p,dis_H32_d_n,dis_H32_d_p,dis_H32_t_n,dis_H32_t_p,dis_H33_d_n,dis_H33_d_p,dis_H33_t_n,dis_H33_t_p,dis_J_d_n,dis_J_d_p,dis_J_t_n,dis_J_t_p,dis_M_d_n,dis_M_d_p,dis_M_t_n,dis_M_t_p,dur_B_d_n,dur_B_d_p,dur_B_t_n,dur_B_t_p,dur_H21_d_n,dur_H21_d_p,dur_H21_t_n,dur_H21_t_p,dur_H22_d_n,dur_H22_d_p,dur_H22_t_n,dur_H22_t_p,dur_H23_d_n,dur_H23_d_p,dur_H23_t_n,dur_H23_t_p,dur_H24_d_n,dur_H24_d_p,dur_H24_t_n,dur_H24_t_p,dur_H31_d_n,dur_H31_d_p,dur_H31_t_n,dur_H31_t_p,dur_H32_d_n,dur_H32_d_p,dur_H32_t_n,dur_H32_t_p,dur_H33_d_n,dur_H33_d_p,dur_H33_t_n,dur_H33_t_p,dur_J_d_n,dur_J_d_p,dur_J_t_n,dur_J_t_p,dur_M_d_n,dur_M_d_p,dur_M_t_n,dur_M_t_p,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
63,"172","10","01","1721001","Mirador, El",El Mirador,El Mirador Núcleo,1754,"1754",15739.5,20885,15739.5,23278.125,29080.25,23278.125,,,,20289.5,26288,20289.5,17562.5,23833,17562.5,20029.55,25833.3,20029.55,2153.5,3310,2153.5,3037.625,4718.75,3037.625,,,,3074.5,5038,3074.5,2576.75,4086,2576.75,2776,4374.3,2776,10594,10594,20885,20885,18651,18651,26874,26294,16301,16301,31080,32073,,,,,,,,,,,,,,,,,,,,,14291,14291,26075,26501,11292,11292,25147,22519,979,1015,3310,3310,1400,1487,4495,3947,1244,1295,4915,5518,,,,,,,,,,,,,,,,,,,,,1089,1133,4723,5353,1039,1096,3905,4267,27607083,36632290,27607083,40829831.25,51006758.5,40829831.25,,,,35587783,46109152,35587783,30804625,41803082,30804625,35131830.7,45311608.2,35131830.7,3777239,5805740,3777239,5327994.25,8276687.5,5327994.25,,,,5392673,8836652,5392673,4519619.5,7166844,4519619.5,4869104,7672522.2,4869104
64,"181","05","01","1810501",Las Salinas y Casa Franco,Las Salinas y Casa Franco,Las Salinas y Casa Franco Núcleo,64,"64",10966.5,11904,10966.5,16954.875,21184.5,16954.875,,,,17946.5,24155,17946.5,8518,9442,8518,15035.7857142857,18605.5714285714,15035.7857142857,2057.25,3325,2057.25,2500.0625,4089.375,2500.0625,,,,3069,5286.5,3069,1131.5,1577,1131.5,2322.57142857143,3792.28571428571,2322.57142857143,10029,10029,11904,11904,7604,7604,9992,9992,13580,13580,58101,16800,11033,11033,25727,14744,18684,18684,17060,17060,,,,,,,,,,,,,11738,11738,31584,16726,7594,7594,9442,9442,764,815,3484,3166,714,766,3319,3070,976,1013,3979,4636,785,833,3926,4344,1073,1126,4875,4566,,,,,,,,,,,,,788,915,5977,4596,690,682,1577,1577,701856,761856,701856,1085112,1355808,1085112,,,,1148576,1545920,1148576,545152,604288,545152,962290.285714286,1190756.57142857,962290.285714286,131664,212800,131664,160004,261720,160004,,,,196416,338336,196416,72416,100928,72416,148644.571428571,242706.285714286,148644.571428571
65,"131","01","01","1310101",Santa Cruz del Valle de los Caídos,Santa Cruz del Valle de los Caídos,Santa Cruz del Valle de los Caídos Núcleo,14,"14",13361.5,14441,13361.5,23419.75,26369.5,23419.75,50108.9166666667,52151.1666666667,50108.9166666667,17612,19823,17612,14997,15937,14997,31388.1428571429,33289.1428571429,31388.1428571429,3645.75,6369,3645.75,5416.5,9394.5,5416.5,6140.58333333333,9844.5,6140.58333333333,4173.5,7150.5,4173.5,3866.25,6489,3866.25,5074.82142857143,8419.5,5074.82142857143,12282,12282,14441,14441,20470,20470,23465,29274,,,,,,,,,,,,,51055,51055,53151,53094,50972,50972,53308,53251,42173,42173,48660,51443,15401,15401,19823,19823,14057,14057,15937,15937,923,922,6369,6369,1435,1442,8945,9844,,,,,,,,,,,,,2410,2802,9128,9090,2439,2795,9283,9245,2031,2143,10368,11953,1194,1199,6947,7354,1260,1227,6489,6489,187061,202174,187061,327876.5,369173,327876.5,701524.833333333,730116.333333333,701524.833333333,246568,277522,246568,209958,223118,209958,439434,466048,439434,51040.5,89166,51040.5,75831,131523,75831,85968.1666666667,137823,85968.1666666667,58429,100107,58429,54127.5,90846,54127.5,71047.5,117873,71047.5
66,"131","01","02","1310102",Valle de los Caídos,Valle de los Caídos,Valle de los Caídos Núcleo,18,"18",12689.5,12621,12689.5,22752.75,24559.5,22752.75,49441.0833333333,50339.5,49441.0833333333,16940,18003,16940,14325,14117,14325,30718.6428571429,31474.1428571429,30718.6428571429,3037.75,5069,3037.75,4811,8102.5,4811,5536,8551.16666666667,5536,3562.5,5850.5,3562.5,3261.75,5189,3261.75,4468.71428571429,7123.5,4468.71428571429,12758,12758,12621,12621,20946,20946,21655,27464,,,,,,,,,,,,,51531,51531,51341,51284,51448,51448,51498,51441,42649,42649,46850,49623,15877,15877,18003,18003,14533,14533,14117,14117,1006,1007,5069,5069,1515,1524,7653,8552,,,,,,,,,,,,,2495,2891,7836,7798,2507,2880,7991,7953,2100,2252,9076,10653,1266,1283,5647,6054,1351,1318,5189,5189,228411,227178,228411,409549.5,442071,409549.5,889939.5,906111,889939.5,304920,324054,304920,257850,254106,257850,552935.571428571,566534.571428571,552935.571428571,54679.5,91242,54679.5,86598,145845,86598,99648,153921,99648,64125,105309,64125,58711.5,93402,58711.5,80436.8571428571,128223,80436.8571428571
67,"061","06","01","0610601",España,España,España Núcleo,1233,"1233",3811.5,3814,3811.5,8648.5,11179,8648.5,38292.1666666667,37729.3333333333,38292.1666666667,5081.5,5915,5081.5,8603,11133,8603,20145.8571428571,20747,20145.8571428571,835.75,1110.5,835.75,1858.75,2837,1858.75,3391.5,4757.66666666667,3391.5,1575.25,2517,1575.25,1828.75,2799,1828.75,2324.71428571429,3362.35714285714,2324.71428571429,3809,3809,3814,3814,6118,6118,14192,8166,,,,,,,,,,,,,41843,41843,39405,39363,41761,41761,39576,39534,32961,32961,33145,35353,4248,4248,5741,6089,6073,6073,14146,8120,588,534,1115,1106,897,864,3115,2559,,,,,,,,,,,,,1955,2424,4245,4536,2003,2416,4403,4694,1613,1741,5066,5602,656,611,2540,2494,875,842,3077,2521,4699579.5,4702662,4699579.5,10663600.5,13783707,10663600.5,47214241.5,46520268,47214241.5,6265489.5,7293195,6265489.5,10607499,13726989,10607499,24839841.8571429,25581051,24839841.8571429,1030479.75,1369246.5,1030479.75,2291838.75,3498021,2291838.75,4181719.5,5866203,4181719.5,1942283.25,3103461,1942283.25,2254848.75,3451167,2254848.75,2866372.71428571,4145786.35714286,2866372.71428571
68,"160","12","02","1601202",Valdemorillo,Valdemorillo,Valdemorillo Núcleo,5950,"5950",18155,18771,18155,25199.5,26602,25199.5,34248.4166666667,35623.1666666667,34248.4166666667,13576.5,13642,13576.5,18350.5,20359,18350.5,25432.3928571429,26606.2142857143,25432.3928571429,1764,2259,1764,3565.25,4941,3565.25,2803.91666666667,3552.5,2803.91666666667,1309.5,1739,1309.5,1893.25,2452,1893.25,2420.53571428571,3149.78571428571,2420.53571428571,17539,17539,18771,18771,23797,23797,26530,26674,,,,,,,,,,,,,38590,38590,39056,37962,38507,38507,38859,38133,21524,21524,29972,29757,13511,13511,13642,13642,16342,16342,20359,20359,1268,1270,2259,2259,2159,2220,5091,4791,,,,,,,,,,,,,2032,2729,3007,3594,2097,2814,3169,3752,1264,1396,3447,4346,872,888,1739,1739,1364,1305,2452,2452,108022250,111687450,108022250,149937025,158281900,149937025,203778079.166667,211957841.666667,203778079.166667,80780175,81169900,80780175,109185475,121136050,109185475,151322737.5,158306975,151322737.5,10495800,13441050,10495800,21213237.5,29398950,21213237.5,16683304.1666667,21137375,16683304.1666667,7791525,10347050,7791525,11264837.5,14589400,11264837.5,14402187.5,18741225,14402187.5
69,"160","12","03","1601203","Charquillas, Las",Las Charquillas,Las Charquillas Núcleo,47,"47",17273,19032,17273,40192.75,55123.5,40192.75,35373.5,35789.3333333333,35373.5,12672.5,13872,12672.5,17446.5,20589,17446.5,27672.1785714286,30854.9285714286,27672.1785714286,2138,3084,2138,4174.5,6071.5,4174.5,2707.33333333333,3230.83333333333,2707.33333333333,1662.25,2526,1662.25,2246.5,3239,2246.5,2620.46428571429,3516.14285714286,2620.46428571429,15514,15514,19032,19032,25262,25262,28176,82071,,,,,,,,,,,,,40674,40674,38942,38588,40591,40591,38745,38745,23608,23608,29858,29858,11473,11473,13872,13872,14304,14304,20589,20589,1198,1186,3084,3084,2234,2321,5845,6298,,,,,,,,,,,,,2179,2787,3031,3014,2245,2847,3193,3169,1475,1570,3471,3507,790,807,2526,2526,1282,1226,3239,3239,811831,894504,811831,1889059.25,2590804.5,1889059.25,1662554.5,1682098.66666667,1662554.5,595607.5,651984,595607.5,819985.5,967683,819985.5,1300592.39285714,1450181.64285714,1300592.39285714,100486,144948,100486,196201.5,285360.5,196201.5,127244.666666667,151849.166666667,127244.666666667,78125.75,118722,78125.75,105585.5,152233,105585.5,123161.821428571,165258.714285714,123161.821428571
70,"170","01","01","1700101",Villaconejos,Villaconejos,Villaconejos Núcleo,3471,"3471",18833,17909,18833,53930.125,59612.75,53930.125,,,,20048,19195,20048,19411.5,20951,19411.5,33230.55,35456.1,33230.55,1559.75,1980,1559.75,4618,6931,4618,,,,1927,2555.5,1927,1531,2080,1531,2850.75,4095.5,2850.75,19757,19757,17909,17909,49497,49497,68314,43950,46998,46998,72540,53647,,,,,,,,,,,,,,,,,,,,,20901,20901,19195,19195,17872,17872,20951,20951,1157,1122,1980,1980,2306,2415,8221,5417,2212,2287,7935,6151,,,,,,,,,,,,,,,,,,,,,1323,1274,2131,2980,982,982,2080,2080,65369343,62162139,65369343,187191463.875,206915855.25,187191463.875,,,,69586608,66625845,69586608,67377316.5,72720921,67377316.5,115343239.05,123068123.1,115343239.05,5413892.25,6872580,5413892.25,16029078,24057501,16029078,,,,6688617,8870140.5,6688617,5314101,7219680,5314101,9894953.25,14215480.5,9894953.25
71,"040","01","01","0400101",Ciempozuelos,Ciempozuelos,Ciempozuelos Núcleo,26037,"26037",8668.5,9198,8668.5,28189.75,27860.5,28189.75,,,,8556,10407,8556,15483,18468,15483,17817.4,18758.8,17817.4,1212.75,1586,1212.75,2448.125,3163.25,2448.125,,,,1429.5,2017,1429.5,1646.25,2148,1646.25,1836.95,2415.5,1836.95,8139,8139,10674,7722,29768,29768,29248,29248,27270,27270,25960,26986,,,,,,,,,,,,,,,,,,,,,6705,6705,11451,9363,12498,12498,25356,11580,826,853,2082,1090,1708,1858,3074,3014,1625,1741,3291,3274,,,,,,,,,,,,,,,,,,,,,827,857,2137,1897,1113,1176,2782,1514,225701734.5,239488326,225701734.5,733976520.75,725403838.5,733976520.75,,,,222772572,270967059,222772572,403130871,480851316,403130871,463911643.8,488422875.6,463911643.8,31576371.75,41294682,31576371.75,63741830.625,82361540.25,63741830.625,,,,37219891.5,52516629,37219891.5,42863411.25,55927476,42863411.25,47828667.15,62892373.5,47828667.15
72,"056","01","01","0560101",Fresnedillas de la Oliva,Fresnedillas de la Oliva,Fresnedillas de la Oliva Núcleo,1764,"1764",29206,31813,29206,63729.25,91112.5,63729.25,46636.8333333333,47231.3333333333,46636.8333333333,24605.25,26652.5,24605.25,28646,33370,28646,40871,46377.4285714286,40871,3099.25,4313,3099.25,4940,6868,4940,3057.41666666667,3247.83333333333,3057.41666666667,2542.5,3596,2542.5,3166,4536.5,3166,3274.28571428571,4151,3274.28571428571,26599,26599,32780,30846,36346,36346,92692,89533,,,,,,,,,,,,,51759,51759,50384,50030,51676,51676,50187,50187,34692,34692,41300,41300,22558,22558,27619,25686,23922,23922,34337,32403,1915,1856,3573,5053,3001,3023,6753,6983,,,,,,,,,,,,,2916,3426,3052,3027,2961,3482,3214,3182,2171,2246,3492,3520,1498,1480,3015,4177,1813,1778,3728,5345,51519384,56118132,51519384,112418397,160722450,112418397,82267374,83316072,82267374,43403661,47015010,43403661,50531544,58864680,50531544,72096444,81809784,72096444,5467077,7608132,5467077,8714160,12115152,8714160,5393283,5729178,5393283,4484970,6343344,4484970,5584824,8002386,5584824,5775840,7322364,5775840
73,"057","03","01","0570301",Jardín de Serracines,Jardín de Serracines,Jardín de Serracines Núcleo,746,"746",26020.5,26938,26020.5,39995.75,49549.5,39995.75,48090.125,50320.5,48090.125,24191.75,25863.5,24191.75,39565.75,44646,39565.75,37659,41273,37659,2686.5,3602.5,2686.5,4749.25,7472.5,4749.25,4709,6832.25,4709,2791.25,4179,2791.25,4769,7455.5,4769,4069,6062.33333333333,4069,25103,25103,28612,25264,30442,30442,57234,41865,,,,,,,,,,,,,47028,47436,49208,46981,44699,44276,46360,58733,,,,,22520,22520,27263,24464,34914,34057,44618,44674,1781,1760,3896,3309,1927,2125,8173,6772,,,,,,,,,,,,,2474,2578,6667,6400,2627,2664,7236,7026,,,,,1411,1396,3938,4420,2006,2159,7545,7366,19411293,20095748,19411293,29836829.5,36963927,29836829.5,35875233.25,37539093,35875233.25,18047045.5,19294171,18047045.5,29516049.5,33305916,29516049.5,28093614,30789658,28093614,2004129,2687465,2004129,3542940.5,5574485,3542940.5,3512914,5096858.5,3512914,2082272.5,3117534,2082272.5,3557674,5561803,3557674,3035474,4522500.66666667,3035474
74,"004","01","01","0040101","Álamo, El",El Álamo,El Álamo Núcleo,10333,"10333",8014.5,7979,8014.5,24029.875,25153.25,24029.875,,,,24190.5,25385,24190.5,8409,8323,8409,19533.3571428571,20328.5714285714,19533.3571428571,1123.75,1466,1123.75,2550,3763.25,2550,,,,2870.25,4381,2870.25,1291.75,1649,1291.75,2212.25,3221.28571428571,2212.25,8050,8050,7979,7979,18862,18862,19775,19775,24838,24838,25459,27329,22291,22291,24378,24378,25635,25635,30066,30066,,,,,,,,,,,,,22996,22996,25385,25385,8495,8495,8323,8323,783,780,1466,1466,1224,1268,2888,2888,1493,1508,4421,4393,1307,1318,3229,3229,1297,1279,4559,4499,,,,,,,,,,,,,1321,1398,4381,4381,925,944,1649,1649,82813828.5,82447007,82813828.5,248300698.375,259908532.25,248300698.375,,,,249960436.5,262303205,249960436.5,86890197,86001559,86890197,201838179.357143,210055128.571429,201838179.357143,11611708.75,15148178,11611708.75,26349150,38885662.25,26349150,,,,29658293.25,45268873,29658293.25,13347652.75,17039117,13347652.75,22859179.25,33285545.2857143,22859179.25
75,"052","06","01","0520601",Valgrande,Valgrande,Valgrande Núcleo,57,"57",51041.5,72010,51041.5,50024.375,58820.25,50024.375,,,,21896.25,26832.5,21896.25,51964.5,73542,51964.5,44990.2,58005,44990.2,4329.75,6973,4329.75,4331.75,6451.75,4331.75,,,,2221.5,3453.5,2221.5,4409.75,7074,4409.75,3924.9,6080.8,3924.9,30073,30073,74392,69628,43173,44477,60282,60282,38632,38632,58352,56365,,,,,,,,,,,,,,,,,,,,,16960,16960,30751,22914,30387,30387,75924,71160,1714,1659,6999,6947,2259,2340,6263,5963,2130,2118,6794,6787,,,,,,,,,,,,,,,,,,,,,1002,977,3647,3260,1760,1731,7100,7048,2909365.5,4104570,2909365.5,2851389.375,3352754.25,2851389.375,,,,1248086.25,1529452.5,1248086.25,2961976.5,4191894,2961976.5,2564441.4,3306285,2564441.4,246795.75,397461,246795.75,246909.75,367749.75,246909.75,,,,126625.5,196849.5,126625.5,251355.75,403218,251355.75,223719.3,346605.6,223719.3
76,"061","07","01","0610701",Fuente la Teja,Fuente la Teja,Fuente la Teja Núcleo,1042,"1042",10983.5,12881,10983.5,15258.75,16100.5,15258.75,28660.8333333333,29484.6666666667,28660.8333333333,13456,14365,13456,15212.75,16054.5,15212.75,20127.6428571429,21122.1428571429,20127.6428571429,2005.5,3243.5,2005.5,2687,4186,2687,2937.41666666667,4227,2937.41666666667,2279.75,3620.5,2279.75,2658,4148,2658,2634.64285714286,3982.71428571429,2634.64285714286,9086,9086,12881,12881,14417,14417,17433,14768,,,,,,,,,,,,,30825,30825,31228,31228,30743,30743,31385,31385,21943,21943,25841,25841,12547,12547,14373,14357,14371,14371,17387,14722,739,796,3615,2872,1184,1192,4817,3555,,,,,,,,,,,,,1583,2073,4469,2811,1616,2045,4624,2966,1200,1370,7046,3446,937,941,3995,3246,1167,1169,4779,3517,11444807,13422002,11444807,15899617.5,16776721,15899617.5,29864588.3333333,30723022.6666667,29864588.3333333,14021152,14968330,14021152,15851685.5,16728789,15851685.5,20973003.8571429,22009272.8571429,20973003.8571429,2089731,3379727,2089731,2799854,4361812,2799854,3060788.16666667,4404534,3060788.16666667,2375499.5,3772561,2375499.5,2769636,4322216,2769636,2745297.85714286,4149988.28571429,2745297.85714286
77,"061","08","01","0610801",Galapagar,Galapagar,Galapagar Núcleo,22399,"22399",7941,9261,7941,12929,13622,12929,31552.25,30878.1666666667,31552.25,10727.5,11090,10727.5,12883,13576,12883,19876.75,20026.2142857143,19876.75,1076.5,1471,1076.5,1926.75,2729,1926.75,2853.16666666667,3697.33333333333,2853.16666666667,1903.25,2917,1903.25,1898.5,2691,1898.5,2194.92857142857,2985.71428571429,2194.92857142857,6621,6621,9261,9261,12236,12236,13613,13631,,,,,,,,,,,,,35215,35215,34777,34197,35132,35132,34948,34354,26332,26332,24069,22924,10365,10365,11536,10644,12190,12190,13567,13585,653,711,1471,1471,1113,1136,2924,2534,,,,,,,,,,,,,1949,2399,4247,3038,1975,2407,4405,3193,1583,1741,3783,3518,885,894,2859,2975,1095,1117,2886,2496,177870459,207437139,177870459,289596671,305119178,289596671,706738847.75,691640055.166667,706738847.75,240285272.5,248404910,240285272.5,288566317,304088824,288566317,445219323.25,448567173.785714,445219323.25,24112523.5,32948929,24112523.5,43157273.25,61126871,43157273.25,63908080.1666667,82816569.3333333,63908080.1666667,42630896.75,65337883,42630896.75,42524501.5,60275709,42524501.5,49164205.0714286,66877014.2857143,49164205.0714286
78,"163","01","01","1630101",Valdepiélagos,Valdepiélagos,Valdepiélagos Núcleo,527,"527",36741.75,36864.5,36741.75,31516.5,32413,31516.5,45634.625,45227.75,45634.625,49151.75,61178.5,49151.75,55185.5,70252,55185.5,43977.4583333333,48527.25,43977.4583333333,3486.5,4726,3486.5,2684.75,3497,2684.75,3782.375,4969,3782.375,6241.5,10635,6241.5,4738.25,7085,4738.25,4119.29166666667,5980.16666666667,4119.29166666667,36619,36619,37799,35930,30620,30620,33328,31498,,,,,,,,,,,,,47206,47206,44378,42548,44877,44877,49473,44512,,,,,37125,37125,31882,90475,40119,40119,72736,67768,2127,2367,4953,4499,1803,1942,3617,3377,,,,,,,,,,,,,2356,2646,4784,4304,2517,2864,5814,4974,,,,,1959,1737,10485,10785,2490,2293,7625,6545,19362902.25,19427591.5,19362902.25,16609195.5,17081651,16609195.5,24049447.375,23835024.25,24049447.375,25902972.25,32241069.5,25902972.25,29082758.5,37022804,29082758.5,23176120.5416667,25573860.75,23176120.5416667,1837385.5,2490602,1837385.5,1414863.25,1842919,1414863.25,1993311.625,2618663,1993311.625,3289270.5,5604645,3289270.5,2497057.75,3733795,2497057.75,2170866.70833333,3151547.83333333,2170866.70833333
79,"163","01","02","1630102","Frontal, El",El Frontal,El Frontal Núcleo,54,"54",39559.25,39950.5,39559.25,34334,35499,34334,48061.25,47531,48061.25,51604.75,63535.5,51604.75,37974.5,38308,37974.5,43265.8333333333,45392.5,43265.8333333333,4758.5,7050,4758.5,4001,5911,4001,5080.75,7368,5080.75,7266,12449,7266,4368.25,6505,4368.25,5092.54166666667,7775.16666666667,5092.54166666667,39168,39168,41614,38287,33169,33169,37143,33855,,,,,,,,,,,,,49756,49756,48193,44905,47427,47427,50157,46869,,,,,39674,39674,34239,92832,37641,37641,39952,36664,2365,2569,7787,6313,2038,2144,6631,5191,,,,,,,,,,,,,2596,2844,7798,6118,2740,2994,8768,6788,,,,,2204,1962,12299,12599,2124,2339,7225,5785,2136199.5,2157327,2136199.5,1854036,1916946,1854036,2595307.5,2566674,2595307.5,2786656.5,3430917,2786656.5,2050623,2068632,2050623,2336355,2451195,2336355,256959,380700,256959,216054,319194,216054,274360.5,397872,274360.5,392364,672246,392364,235885.5,351270,235885.5,274997.25,419859,274997.25
80,"108","01","01","1080101",Atalaya Real,Atalaya Real,Atalaya Real Núcleo,195,"195",34906.75,34299.5,34906.75,29925.5,30142,29925.5,43300.75,41665,43300.75,49083.5,61589,49083.5,32854,35698,32854,38895.2083333333,40843.0833333333,38895.2083333333,3420.75,4945,3420.75,2939.75,4339,2939.75,3844.25,5470.25,3844.25,4891.75,7746,4891.75,4088,6493,4088,3838.125,5743.91666666667,3838.125,35514,35514,37128,31471,29709,29709,31226,29058,,,,,,,,,,,,,46101,46101,39692,40108,43772,43772,41657,45203,,,,,36578,36578,61381,61797,30010,30010,40327,31069,1786,2007,5986,3904,1507,1574,4669,4009,,,,,,,,,,,,,1986,2255,4996,4876,2152,2480,6103,5906,,,,,2027,2048,7986,7506,1684,1682,7193,5793,6806816.25,6688402.5,6806816.25,5835472.5,5877690,5835472.5,8443646.25,8124675,8443646.25,9571282.5,12009855,9571282.5,6406530,6961110,6406530,7584565.625,7964401.25,7584565.625,667046.25,964275,667046.25,573251.25,846105,573251.25,749628.75,1066698.75,749628.75,953891.25,1510470,953891.25,797160,1266135,797160,748434.375,1120063.75,748434.375
81,"108","02","01","1080201",Montenebro,Montenebro,Montenebro Núcleo,887,"887",35480.5,36393,35480.5,29984.5,31206,29984.5,43614.5,43238.5,43614.5,49883,64134,49883,49221.25,69378.5,49221.25,41966.375,47931.4166666667,41966.375,4192.5,6324.5,4192.5,3330,4938,3330,4417.5,6431.5,4417.5,5523.5,8814.5,5523.5,5399.75,8934.5,5399.75,4546.79166666667,6979.08333333333,4546.79166666667,34568,34568,37109,35677,28763,28763,31206,31206,,,,,,,,,,,,,45155,45155,42256,42256,42826,42826,44221,44221,,,,,35632,35632,64323,63945,29064,29064,67476,71281,1990,2131,6255,6394,1707,1737,4938,4938,,,,,,,,,,,,,2214,2408,5985,5985,2364,2628,6840,6916,,,,,2235,2230,8654,8975,1880,1850,8346,9523,31471203.5,32280591,31471203.5,26596251.5,27679722,26596251.5,38686061.5,38352549.5,38686061.5,44246221,56886858,44246221,43659248.75,61538729.5,43659248.75,37224174.625,42515166.5833333,37224174.625,3718747.5,5609831.5,3718747.5,2953710,4380006,2953710,3918322.5,5704740.5,3918322.5,4899344.5,7818461.5,4899344.5,4789578.25,7924901.5,4789578.25,4033004.20833333,6190446.91666667,4033004.20833333
82,"071","01","01","0710101",Horcajuelo de la Sierra,Horcajuelo de la Sierra,Horcajuelo de la Sierra Núcleo,107,"107",48524.25,45325.5,48524.25,76700.75,79468.5,76700.75,83962.25,78764,83962.25,25241,24512,25241,89572,104910,89572,67993.75,68624,67993.75,7119.5,11821.5,7119.5,7328.75,11444,7328.75,7613.75,11355.5,7613.75,3258.25,5143.5,3258.25,8667.75,13961,8667.75,6933.625,10846.8333333333,6933.625,51723,51723,40999,49652,73933,73933,70216,88721,,,,,,,,,,,,,90325,90325,81266,74297,87996,87996,83231,76262,,,,,25970,25970,24274,24750,74234,74234,106497,103323,2427,2408,9184,14459,3174,3253,9318,13570,,,,,,,,,,,,,3673,3890,10245,11620,3863,4062,10958,12599,,,,,1374,1372,4126,6161,3367,3382,12644,15278,5192094.75,4849828.5,5192094.75,8206980.25,8503129.5,8206980.25,8983960.75,8427748,8983960.75,2700787,2622784,2700787,9584204,11225370,9584204,7275331.25,7342768,7275331.25,761786.5,1264900.5,761786.5,784176.25,1224508,784176.25,814671.25,1215038.5,814671.25,348632.75,550354.5,348632.75,927449.25,1493827,927449.25,741897.875,1160611.16666667,741897.875
83,"017","01","01","0170101",Batres,Batres,Batres Núcleo,794,"794",32349.5,50035,32349.5,30292.25,34502.75,30292.25,,,,19612.25,20013.5,19612.25,22691.5,25522,22691.5,27047.55,32915.2,27047.55,3287.25,5500.5,3287.25,2778.5,4120.5,2778.5,,,,2879.75,4708.5,2879.75,1909.25,2602,1909.25,2726.65,4210.4,2726.65,14664,14664,85327,14743,24032,25341,23493,40080,26928,28026,37219,37219,,,,,,,,,,,,,,,,,,,,,19211,19211,20269,19758,19861,19861,25522,25522,1081,1067,8619,2382,1315,1356,3749,4587,1507,1568,4073,4073,,,,,,,,,,,,,,,,,,,,,1048,1054,3936,5481,1205,1228,2602,2602,25685503,39727790,25685503,24052046.5,27395183.5,24052046.5,,,,15572126.5,15890719,15572126.5,18017051,20264468,18017051,21475754.7,26134668.8,21475754.7,2610076.5,4367397,2610076.5,2206129,3271677,2206129,,,,2286521.5,3738549,2286521.5,1515944.5,2065988,1515944.5,2164960.1,3343057.6,2164960.1
